"probe"	"gene"	"CTRL"	"CTRL.1"	"CTRL.2"	"IFN.2.5"	"IFN.2.5.1"	"IFN.2.5.2"	"TNF.2.5"	"TNF.2.5.1"	"TNF.2.5.2"	"TNF.IFN.2.5"	"TNF.IFN.2.5.1"	"TNF.IFN.2.5.2"
"1"	"RFC2"	"RFC2"	8.32476906456122	8.32476906456122	8.13276422638644	8.37578868077372	8.37345822197855	8.32476906456122	8.32476906456122	8.46264733060206	8.38624740227887	8.32476906456122	8.33891054893737	8.19239673943418
"2"	"HSPA6"	"HSPA6"	5.4132997372297	4.83009596258922	5.92978582793762	8.32924944003941	8.00687640717348	7.95083208164185	6.24813873060111	6.2076991116759	5.94050757464532	7.67775600789073	7.48433896438092	7.54056757956347
"3"	"PAX8"	"PAX8"	5.59419913244538	5.58164136006681	5.58164136006681	5.66103797591629	5.58164136006681	5.58164136006681	5.58164136006681	5.58164136006681	5.58164136006681	5.50405510837386	5.41153815344673	5.54574059289733
"4"	"UBA7"	"UBA7"	7.36166440789063	7.30765353598755	7.33639947330063	7.33639947330063	7.21789691411365	7.19782824519262	7.67121221602299	7.60746184287673	7.47079033978885	7.42084157765359	7.33639947330063	7.09581405345863
"5"	"CCL5"	"CCL5"	9.98570759916216	8.99963797532425	10.3711030592863	4.69270444583221	4.51740040561719	4.99673340510189	12.4763311094549	12.4507889038349	12.3265901844885	6.66339608488429	5.64231658497142	6.05286232538139
"6"	"ESRRA"	"ESRRA"	6.33502425370742	6.37370575425424	6.53902674752124	6.63050435659431	6.84705796009211	6.77830808482251	6.15535422033855	6.37034608525464	6.39734056597218	6.97565282564113	6.88692031590278	6.53902674752124
"7"	"SCARB1"	"SCARB1"	9.31924540398051	9.21829297045861	9.13592169050143	9.3841622426651	9.37791408687987	9.4559198040499	9.34784867953492	9.49277938162161	9.48303257040881	9.36833138145975	9.22005796225478	9.35570071214207
"8"	"TTLL12"	"TTLL12"	7.05689889398976	7.09674549707708	7.07823602073455	7.53073032832781	7.12618845956986	7.18360912290112	6.8903021820793	6.96101516805425	7.09674549707708	7.24338985675257	7.11979720793544	7.06617748147996
"9"	"MAPK1"	"MAPK1"	12.1930278101602	12.1918619606658	12.0885166145302	12.3305346784702	12.2957492808012	12.186179623891	11.9386274451008	11.9950736461325	11.9090915234964	12.2971223964809	12.3400748880882	12.4200168242686
"10"	"PXK"	"PXK"	9.29427886537245	9.50884145128842	9.24016191636243	9.84689008139302	10.0143700716373	10.0934417977129	8.93904204681928	9.19320980982466	8.99701617949916	9.97288095080885	10.1016978171964	10.1421733165781
"11"	"MSANTD3"	"MSANTD3"	9.59090085113635	9.27473680590313	9.83187054211002	7.02736146904876	7.05377393223262	7.32002391878425	8.754430300293	8.96661664913986	8.8267318676575	7.34955237999645	7.15382520446038	7.24885098953837
"12"	"SLC46A1"	"SLC46A1"	6.04829812941499	6.61751665922025	6.38452078951536	7.95132624624077	7.86739195884015	7.56228702561283	6.12227389926762	6.42845267990831	6.44350850636092	8.01632349775512	7.68507858115858	7.78733734758007
